Category,Subcategory,Sub-Subcategory,Sub-Sub-Subcategory,Code
Toys and Games,Pretend Play,Toy Furniture,,Toy_Furniture
Toys and Games,Pretend Play,Toy Instruments,,Toy_Instruments
Toys and Games,Pretend Play,Toy Sports,,Toy_Sports
Toys and Games,Puzzles,Electronic and Sound Puzzles,,Electronic_and_Sound_Puzzles
Toys and Games,Puzzles,General Puzzles,,General_Puzzles
Toys and Games,Puzzles,Puzzle Packs,,Puzzle_Packs
Toys and Games,Remote Control Toys,Remote Control Toy Parts,,Remote_Control_Toy_Parts
Toys and Games,Remote Control Toys,Remote Controlled Toys,,Remote_Controlled_Toys
Toys and Games,Remote Control Toys,Unmanned Aerial Vehicle Storage,,Unmanned_Aerial_Vehicle_Storage
Toys and Games,Remote Control Toys,Unmanned Aerial Vehicles,,Unmanned_Aerial_Vehicles
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Action Figure Playsets and Vehicles,Action_Figure_Playsets_and_Vehicles
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Action Figures,Action_Figures
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Baby Dolls,Baby_Dolls
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Doll Houses,Doll_Houses
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Fashion Dolls,Fashion_Dolls
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Miscellaneous Doll Accessories,Miscellaneous_Doll_Accessories
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Plush Toys,Plush_Toys
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Puppet theaters,Puppet_theaters
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Puppets,Puppets
Toys and Games,Toys,"Dolls, Playsets, and Toy Figures",Toy Storage and Carrying Cases,Toy_Storage_and_Carrying_Cases
Toys and Games,Toys,Electronic Toy Pets,,Electronic_Toy_Pets
Toys and Games,Toys,Riding Toys,Battery Powered Ride-Ons,Battery_Powered_Ride_Ons
Toys and Games,Toys,Riding Toys,Pedal Push Ride-Ons,Pedal_Push_Ride_Ons
Toys and Games,Toys,Riding Toys,Rocking Horses,Rocking_Horses
Toys and Games,Toys,Riding Toys,Rocking Ride-Ons,Rocking_Ride_Ons
Toys and Games,Toys,Riding Toys,Wagons,Wagons
Vehicles and Parts,Vehicle Parts,Watercraft Parts,Boat and Watercraft Seats,Boat_and_Watercraft_Seats
Vehicles and Parts,Vehicle Parts,Watercraft Parts,Watercraft Engines and Motors,Watercraft_Engines_and_Motors
