"product_type","category"
"Fuel Tank & Line Repairs","Vehicles, Parts & Accessories"
"Valve Cover Gaskets","Vehicles, Parts & Accessories"
"RV Steps","Vehicles, Parts & Accessories"
"Automatic Transmission Fluids","Vehicles, Parts & Accessories"
"Automotive Safety Parts & Accessories","Vehicles, Parts & Accessories"
"Automotive Spoilers & Wings","Vehicles, Parts & Accessories"
"Automotive Decals & Stickers","Vehicles, Parts & Accessories"
"Automotive Battery Clamps","Vehicles, Parts & Accessories"
"Automotive Window Regulators","Vehicles, Parts & Accessories"
"Automotive Carpet & Flooring","Vehicles, Parts & Accessories"
"Automotive Shifter Boots & Kits","Vehicles, Parts & Accessories"
"Automotive Winch Covers","Vehicles, Parts & Accessories"
"Tire Pressure Gauges","Vehicles, Parts & Accessories"
"Automotive Alarms","Vehicles, Parts & Accessories"
"Windshield Scrapers","Vehicles, Parts & Accessories"
"Windshield Washer Fluid","Vehicles, Parts & Accessories"
"Automotive Heating & Air Conditioning Repair Tools & Kits","Vehicles, Parts & Accessories"
"Suspension Lowering Kits","Vehicles, Parts & Accessories"
"Automotive Mud Flaps & Splash Guards","Vehicles, Parts & Accessories"
"Seat Belts","Vehicles, Parts & Accessories"
"Automotive Body Filler & Patches","Vehicles, Parts & Accessories"
"Automotive Clothes Bars & Rods","Vehicles, Parts & Accessories"
"Automotive Fog Light Accessories & Mounting Hardware","Vehicles, Parts & Accessories"
"Vehicle Batteries","Vehicles, Parts & Accessories"
"Battery Mounting & Installation Parts & Hardware","Vehicles, Parts & Accessories"
"Automotive Jump Starters","Vehicles, Parts & Accessories"
"Automotive Cigarette Lighters & Plugs","Vehicles, Parts & Accessories"
"Automotive Lift Supports","Vehicles, Parts & Accessories"
"Power Steering Fluid","Vehicles, Parts & Accessories"
"Brake Launch Controls","Vehicles, Parts & Accessories"
"Automotive License Plates","Vehicles, Parts & Accessories"
"Automotive Hood Scoops","Vehicles, Parts & Accessories"
"Automotive Clock, Thermometer & Compass Combination Sets","Vehicles, Parts & Accessories"
"Automotive Fluid Change Kits","Vehicles, Parts & Accessories"
"Motorcycle Gloves","Vehicles, Parts & Accessories"
"Motorcycle Helmets","Vehicles, Parts & Accessories"
"Automotive Fuel Tank Caps","Vehicles, Parts & Accessories"
"Motorcycle Covers","Vehicles, Parts & Accessories"
"Automatic Transmission Filters","Vehicles, Parts & Accessories"
"Automotive Hitch Steps","Vehicles, Parts & Accessories"
"RV Leveling Blocks","Vehicles, Parts & Accessories"
"Spotlights","Vehicles, Parts & Accessories"
"Throttle Body Gaskets","Vehicles, Parts & Accessories"
"Automotive Hones & Brushes","Vehicles, Parts & Accessories"
"Motorcycle Tubes","Vehicles, Parts & Accessories"
"Automotive Line Disconnect Tools","Vehicles, Parts & Accessories"
"Pistons","Vehicles, Parts & Accessories"
"Tire Pressure Monitoring System (TPMS) Sensors","Vehicles, Parts & Accessories"
"Engine Degreasers","Vehicles, Parts & Accessories"
"Windshield Wiper Tubes & Hoses","Vehicles, Parts & Accessories"
"Trailer Weight Distributing Systems","Vehicles, Parts & Accessories"
"ATV Wheels","Vehicles, Parts & Accessories"
"Automotive Consoles","Vehicles, Parts & Accessories"
"Automotive Seat Heaters","Vehicles, Parts & Accessories"
"ATV Ramps","Vehicles, Parts & Accessories"
"Piston Rings","Vehicles, Parts & Accessories"
"Automotive Oxygen Sensors","Vehicles, Parts & Accessories"
"Automotive Door Panels","Vehicles, Parts & Accessories"
"Automotive Panels & Trim","Vehicles, Parts & Accessories"
"Automotive Door Guards","Vehicles, Parts & Accessories"
"Automotive Shifter Knobs & Handles","Vehicles, Parts & Accessories"
"Automotive Bumper End Caps","Vehicles, Parts & Accessories"
"Brake Cleaners","Vehicles, Parts & Accessories"
"Motorcycle Boots","Vehicles, Parts & Accessories"
"Automotive Spray Guns","Vehicles, Parts & Accessories"
"Tire Sealer & Foam","Vehicles, Parts & Accessories"
"Heated Car Blankets","Vehicles, Parts & Accessories"
"Cabin Air Filters","Vehicles, Parts & Accessories"
"Window Tints","Vehicles, Parts & Accessories"
"Motorcycle Stands","Vehicles, Parts & Accessories"
"Brake Fluids","Vehicles, Parts & Accessories"
"Automotive Disc Brake Simulators","Vehicles, Parts & Accessories"
"Automotive Undercoating","Vehicles, Parts & Accessories"
"Automotive Hitch Drawbars","Vehicles, Parts & Accessories"
"Automotive Door Sill Plates","Vehicles, Parts & Accessories"
"Paint Reducers & Retarders","Vehicles, Parts & Accessories"
"Anti-Theft Devices","Vehicles, Parts & Accessories"
"Catalytic Converters","Vehicles, Parts & Accessories"
"ATV Hitches","Vehicles, Parts & Accessories"
"Engine Water Pumps","Vehicles, Parts & Accessories"
"Brake Booster Filters","Vehicles, Parts & Accessories"
"Automotive Winch Fairleads","Vehicles, Parts & Accessories"
"Utility Terrain Vehicles","Vehicles, Parts & Accessories"
"Automotive Wheel Bearing Protectors","Vehicles, Parts & Accessories"
"Diesel Exhaust Fluid","Vehicles, Parts & Accessories"
"Automotive Sun Visors","Vehicles, Parts & Accessories"
"Motorcycle Tires","Vehicles, Parts & Accessories"
"Liquid Fuels","Vehicles, Parts & Accessories"
"Automotive Hitch Covers","Vehicles, Parts & Accessories"
"Automotive Trailers","Vehicles, Parts & Accessories"
"ATV Cargo Storage","Vehicles, Parts & Accessories"
"Pedals","Vehicles, Parts & Accessories"
"Tire Patching & Plugging Tools","Vehicles, Parts & Accessories"
"Automotive Winch Remote Controls","Vehicles, Parts & Accessories"
"Automotive Mirror Overlays","Vehicles, Parts & Accessories"
"Electric Parts Cleaners","Vehicles, Parts & Accessories"
